row_id,tag_name,point_id
216998654,JK5-AHU-1-D-Z01-PICV_WATER_FLOW_COMMAND,0b919edfec4c21a4ce66f220394aeb6d
216998678,JK5-AHU-1-D-Z01-RET_AIR_HUM_1,493d55d389f0a842ea984f8b5fa27a26
216998679,JK5-AHU-1-D-Z01-RET_AIR_HUM_2,9e3506c6724b447d546b60264fce2362
216998674,JK5-AHU-1-D-Z01-RET_AIR_TEMP_1,e38633e5673122a2060f5255b6590b00
216998675,JK5-AHU-1-D-Z01-RET_AIR_TEMP_2,d134ac69ec998b0b044f20b30f4afc39
216998676,JK5-AHU-1-D-Z01-RET_AIR_TEMP_3,7476a487d81e890eb5416e43df33bb40
216998677,JK5-AHU-1-D-Z01-RET_AIR_TEMP_4,993e4e89da2cddab47ae8b20c5bac4f2
216998672,JK5-AHU-1-D-Z01-SUPP_AIR_TEMP_1,aa621d5f44ff160ec96e08814c8dea55
216998673,JK5-AHU-1-D-Z01-SUPP_AIR_TEMP_2,bb93f6bb1f19a7211e8bac28e63638d1
216998682,JK5-AHU-1-D-Z01-UNIT_WORKING_HOURS,9a0bb27859fcc2be2ed84847e0a49da1
216998657,JK5-AHU-1-D-Z01-WATER_INLET_TEMP,a893a6939ddb1f3c27d204712cb31251
216998658,JK5-AHU-1-D-Z01-WATER_OUTLET_TEMP,c041bc29c38e019a9f0fe2b6227612cc
216962859,JK5-AHU-1-D-Z02-ACTUAL_FAN_SPEED,ecff8142f07261c5b867100d55a163cf
216998930,JK5-AHU-1-D-Z02-ACTUAL_RET_AIR_HUM,7268195da3acbb15cd8372886a165e08
216998928,JK5-AHU-1-D-Z02-ACTUAL_RET_AIR_TEMP,54d1489c09c34e83f505b7b56aa2c877
216998929,JK5-AHU-1-D-Z02-ACTUAL_SUPP_AIR_TEMP,692c428a859b2d76b0d87ed12c05c99a
216998968,JK5-AHU-1-D-Z02-COLD_AISLE_DIFF_PRESS_1,81d2d1e908b042e41b72899bb489809c
216998965,JK5-AHU-1-D-Z02-COLD_AISLE_DIFF_PRESS_2,a1c5ab6c1567e9f5b4682f84016dacff
216998970,JK5-AHU-1-D-Z02-COLD_AISLE_DIFF_PRESS_3,4f6ba4d15fac4ce418b733ecac27e8c1
216998962,JK5-AHU-1-D-Z02-COLD_AISLE_HUM_1,7fd09a5bd999375256ed7cd0ad3029ec
216998964,JK5-AHU-1-D-Z02-COLD_AISLE_HUM_2,f22c6226cd6bd9c54d70e026b618d70b
216998957,JK5-AHU-1-D-Z02-COLD_AISLE_HUM_3,0fee0360b9be96f4f0510b8fd6eeefca
216998967,JK5-AHU-1-D-Z02-COLD_AISLE_HUM_4,c56be42a3c76c304cb38e62fd4a64632
216998966,JK5-AHU-1-D-Z02-COLD_AISLE_HUM_5,b4ea2d588f404ef9ac144497d624fbec
216998960,JK5-AHU-1-D-Z02-COLD_AISLE_TEMP_1,01bbb9d42c252d6f0e85562364ed2fcb
216998959,JK5-AHU-1-D-Z02-COLD_AISLE_TEMP_2,23fe03077b2cfd645795e16aebee34c1
216998961,JK5-AHU-1-D-Z02-COLD_AISLE_TEMP_3,3d52f59a37aaeef7cf40b161b8a02525
216998958,JK5-AHU-1-D-Z02-COLD_AISLE_TEMP_4,8f311ced7578d1f80f3b4f94bf041695
216998963,JK5-AHU-1-D-Z02-COLD_AISLE_TEMP_5,07940f1fee7c46d394ff76e9876aff3a
216998925,JK5-AHU-1-D-Z02-FAN_1_POWER,9b5375266317c671e460836f5175004a
216998927,JK5-AHU-1-D-Z02-FAN_1_SPEED_FEEDBACK,2144ea74ab3bad490b6b6916cb65d561
216998951,JK5-AHU-1-D-Z02-FAN_10_POWER,8e2f2678837a45c21289adf817222ddc
216998939,JK5-AHU-1-D-Z02-FAN_10_SPEED_FEEDBACK,31827227f2f22bb9d65295f07bf53450
216998950,JK5-AHU-1-D-Z02-FAN_11_POWER,3a2bfcb4fd98c571469bd09985988fa6
216998938,JK5-AHU-1-D-Z02-FAN_11_SPEED_FEEDBACK,43d2c6ab5a5f324805983a8b0fa6ccfa
216998952,JK5-AHU-1-D-Z02-FAN_12_POWER,64de3482b642b937aa11bcdfb6c62507
216998940,JK5-AHU-1-D-Z02-FAN_12_SPEED_FEEDBACK,a95196b098aa0bdc9eb6ea98bbaa1d75
216998944,JK5-AHU-1-D-Z02-FAN_2_POWER,6f165dc64662160def88e082b3158595
216998932,JK5-AHU-1-D-Z02-FAN_2_SPEED_FEEDBACK,432496fea703bad19f6abfc88b497092
216998943,JK5-AHU-1-D-Z02-FAN_3_POWER,51b6a76ff31673db82e26dd9930e60fd
216998931,JK5-AHU-1-D-Z02-FAN_3_SPEED_FEEDBACK,9d57087f0ec68409fd12c066560cc745
216998945,JK5-AHU-1-D-Z02-FAN_4_POWER,5dffdfa949a92469fba4753aec168307
216998933,JK5-AHU-1-D-Z02-FAN_4_SPEED_FEEDBACK,3b9db23861654f1eb894046a1f3fe3d1
216998942,JK5-AHU-1-D-Z02-FAN_5_POWER,f03f864e487bad4ec84d2d72ebad62b4
216998926,JK5-AHU-1-D-Z02-FAN_5_SPEED_FEEDBACK,7a072d34c4cedd5625e9eb3ac3d60b96
216998947,JK5-AHU-1-D-Z02-FAN_6_POWER,b33646df01adbbdeb9b0a83d0d91fd4d
216998936,JK5-AHU-1-D-Z02-FAN_6_SPEED_FEEDBACK,44af5b50ee4bc77349100f22fb768430
216998946,JK5-AHU-1-D-Z02-FAN_7_POWER,fe3ccc66dba6e83ca7ab9668489c1a74
216998935,JK5-AHU-1-D-Z02-FAN_7_SPEED_FEEDBACK,57c0206e619814896269bfdc94f55a94
216998948,JK5-AHU-1-D-Z02-FAN_8_POWER,04866696eea0cbfbaf7e02814d8589da
216998937,JK5-AHU-1-D-Z02-FAN_8_SPEED_FEEDBACK,18962371a8f12d03ad2838d3b466f363
216998941,JK5-AHU-1-D-Z02-FAN_9_POWER,dbb8438828aa1c4a8fc78262dea1bd31
216998934,JK5-AHU-1-D-Z02-FAN_9_SPEED_FEEDBACK,0fac436d2256e0d63cebcd9bcf65806e
216998982,JK5-AHU-1-D-Z02-FAN_DIFF_PRESS_SETPOINT,b39c14b0f229265678b3a9784184becd
216998985,JK5-AHU-1-D-Z02-FAN_DIFF_TEMP_SETPOINT,180d581a5e267cba507532ee0447197e
216998987,JK5-AHU-1-D-Z02-FAN_MAX_SPEED_SETPOINT,a8eba83037fffe7631279ea9ac629723
216998986,JK5-AHU-1-D-Z02-FAN_MIN_SPEED_SETPOINT,4bbeb831ee959d8628a4819246e2610e
216998980,JK5-AHU-1-D-Z02-FAN_REGULATION_MODE,10811adf9039d41620d6d0a5e2e1776a
216998977,JK5-AHU-1-D-Z02-FILTER_PRESS_DIFF_1,d0bec568200230d7dfa404b6549aa2bb
216998979,JK5-AHU-1-D-Z02-FILTER_PRESS_DIFF_2,6e45eda7173efcfbd470ad40279073dc
